ID	QUALITY
ERR346600.1362	36
ERR346600.1349	35
ERR346600.1360	27
ERR346600.1348	26
ERR346600.1363	31
ERR346600.1361	35
ERR346600.1366	23
ERR346600.1372	31
ERR346600.1368	34
ERR346600.1367	33
ERR346600.1378	36
ERR346600.1373	36
ERR346600.1374	35
ERR346600.1380	34
ERR346600.1377	25
ERR346600.1382	33
ERR346600.1376	35
ERR346600.1365	26
ERR346600.1375	29
ERR346600.1379	30
ERR346600.1371	36
ERR346600.1384	22
ERR346600.1385	27
ERR346600.1390	34
ERR346600.1383	30
ERR346600.1386	31
ERR346600.1395	37
ERR346600.1391	36
ERR346600.1392	38
ERR346600.1393	31
ERR346600.1387	33
ERR346600.1388	30
ERR346600.1381	22
ERR346600.1399	25
ERR346600.1397	38
ERR346600.1394	37
ERR346600.1396	37
ERR346600.1403	24
ERR346600.1404	35
ERR346600.1402	24
ERR346600.1411	33
ERR346600.1398	25
ERR346600.1409	37
ERR346600.1407	37
ERR346600.1405	35
ERR346600.1400	29
ERR346600.1412	28
ERR346600.1408	38
ERR346600.1401	35
ERR346600.1414	37
ERR346600.1410	37
ERR346600.1413	28
ERR346600.1417	35
ERR346600.1415	37
ERR346600.1416	30
ERR346600.1418	25
ERR346600.1420	32
ERR346600.1424	33
ERR346600.1423	27
ERR346600.1421	35
ERR346600.1427	23
ERR346600.1425	35
ERR346600.1430	30
ERR346600.1428	32
ERR346600.1432	34
ERR346600.1435	30
ERR346600.1439	29
ERR346600.1441	28
ERR346600.1433	23
ERR346600.1434	38
ERR346600.1445	36
ERR346600.1437	26
ERR346600.1436	33
ERR346600.1438	28
ERR346600.1444	37
ERR346600.1446	37
ERR346600.1442	38
ERR346600.1447	36
ERR346600.1448	29
ERR346600.1453	37
ERR346600.1449	32
ERR346600.1450	21
ERR346600.1452	37
ERR346600.1443	33
ERR346600.1451	31
ERR346600.1455	29
ERR346600.1457	37
ERR346600.1465	35
ERR346600.1461	38
ERR346600.1463	25
ERR346600.1468	37
ERR346600.1454	35
ERR346600.1459	27
ERR346600.1462	30
ERR346600.1466	37
ERR346600.1464	37
ERR346600.1474	36
ERR346600.1470	36
ERR346600.1467	21
ERR346600.1472	33
ERR346600.1479	38
ERR346600.1480	37
ERR346600.1477	37
ERR346600.1481	27
ERR346600.1469	35
